City,Country,Longitude,Latitude,Date,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Max Temperature (F)
pishin,PK,66.9961,30.5803,1621136778,75.24,15,9,4.5,75.24
pisco,PE,-76.2167,-13.7,1621136778,62.78,88,90,2.3,63.0
waipawa,NZ,175.5153,-41.4122,1621136778,60.44,72,75,23.02,62.6
mezhdurechenskiy,RU,65.9333,59.6,1621136779,66.76,65,96,2.17,66.76
shihezi,CN,86.0333,44.3,1621136779,66.92,40,96,5.12,66.92
lauterbach,DE,9.4,50.6333,1621136780,45.97,92,78,1.01,46.99
aksu,CN,80.2644,41.1231,1621136780,60.75,38,20,2.82,60.75
ovsyanka,RU,92.5519,55.9575,1621136781,46.4,93,90,2.24,46.4
pangnirtung,CA,-65.7125,66.1451,1621136781,9.79,92,69,6.82,9.79
natchitoches,US,-93.1335,31.7668,1621136781,69.8,73,1,7.34,69.8
concarneau,FR,-3.9225,47.875,1621136782,52.68,93,75,6.91,53.6
catanduva,BR,-48.9728,-21.1378,1621136782,69.8,52,0,3.44,69.8
gejiu,CN,103.1635,23.306,1621136783,73.15,42,2,7.83,73.15
puerto penasco,MX,-113.5333,31.3167,1621136783,73.99,74,0,13.0,73.99
arawa,PG,155.5367,-6.2132,1621136783,87.67,65,44,5.03,87.67
keetmanshoop,NA,18.1333,-26.5833,1621136784,51.98,79,0,5.44,51.98
curup,ID,102.5333,-3.4667,1621136784,85.5,52,40,1.39,85.5
cockburn town,TC,-71.1419,21.4612,1621136656,79.29,79,1,13.58,79.29
raudeberg,NO,5.1352,61.9875,1621136785,50.0,93,100,9.35,50.0
coihaique,CL,-72.0662,-45.5752,1621136614,42.8,87,20,8.05,42.8
arlit,NE,7.3853,18.7369,1621136785,85.71,11,0,3.33,85.71
mount isa,AU,139.5,-20.7333,1621136786,77.0,16,0,11.5,77.0
hokitika,NZ,170.9667,-42.7167,1621136786,52.07,94,100,7.45,52.07
bella union,UY,-57.6007,-30.2752,1621136786,55.31,79,78,4.99,55.31
gambiran,ID,111.4951,-6.7988,1621136787,87.55,57,4,6.76,87.55
almaznyy,RU,40.045,48.0448,1621136787,68.0,60,0,6.71,68.0
daru,PG,143.2092,-9.0763,1621136788,81.27,84,99,17.45,81.27
mehamn,NO,27.8492,71.0357,1621136788,34.84,83,100,21.43,34.84
point pedro,LK,80.2333,9.8167,1621136788,86.59,70,100,17.92,86.59
bandarbeyla,SO,50.8122,9.4942,1621136789,86.83,62,2,21.68,86.83
wanxian,CN,108.3897,30.8039,1621136789,65.17,94,100,3.94,65.17
toora-khem,RU,96.11,52.4675,1621136790,51.13,71,96,4.21,51.13
akyab,MM,92.9,20.15,1621136790,88.3,65,28,8.84,88.3
hualmay,PE,-77.6139,-11.0964,1621136790,63.97,86,16,8.52,63.97
hofn,IS,-15.2082,64.2539,1621136791,37.06,62,100,19.04,37.06
qasigiannguit,GL,-51.1922,68.8193,1621136791,37.4,65,75,1.81,37.4
kokopo,PG,152.2633,-4.352,1621136792,87.53,62,95,9.55,87.53
kati,ML,-8.0726,12.7441,1621136792,78.8,73,20,4.61,78.8
irituia,BR,-47.4381,-1.7711,1621136792,71.91,99,100,1.81,71.91
aripuana,BR,-60.6333,-9.1667,1621136793,74.44,81,85,2.21,74.44
sakaiminato,JP,133.2333,35.55,1621136793,76.66,78,75,16.11,78.8
nishihara,JP,127.7558,26.1842,1621136793,85.24,79,20,14.97,87.8
garowe,SO,48.4845,8.4054,1621136794,81.43,58,5,19.17,81.43
bayan,CN,127.4,46.0833,1621136794,70.05,26,99,10.67,70.05
quang ngai,VN,108.8,15.1167,1621136795,97.29,41,5,11.99,97.29
portland,US,-122.6762,45.5234,1621136127,70.02,40,40,10.36,73.4
san quintin,MX,-115.95,30.4833,1621136795,58.96,78,13,14.5,58.96
vylkove,UA,29.586,45.4021,1621136795,60.57,71,100,4.5,60.57
knysna,ZA,23.0471,-34.0363,1621136796,53.6,100,75,6.91,53.6
olavarria,AR,-60.3225,-36.8927,1621136796,53.01,71,98,3.11,53.01
aracruz,BR,-40.2733,-19.8203,1621136797,68.0,88,75,2.3,68.0
mailsi,PK,72.1758,29.8003,1621136797,94.15,27,29,10.2,94.15
itacoatiara,BR,-58.4442,-3.1431,1621136797,75.42,94,98,2.06,75.42
joshimath,IN,79.5667,30.5667,1621136798,69.89,36,2,4.09,69.89
russell,US,-85.1999,32.3502,1621136798,58.05,94,1,2.66,66.2
mecca,SA,39.8261,21.4267,1621136799,83.07,31,0,1.59,83.07
kirando,TZ,30.6,-7.4167,1621136799,74.48,67,93,7.47,74.48
henties bay,NA,14.2845,-22.116,1621136799,62.26,86,1,6.64,62.26
goderich,CA,-81.7165,43.7501,1621136712,50.0,66,98,5.75,50.0
abonnema,NG,6.7931,4.7084,1621136800,75.2,94,40,3.44,75.2
tual,ID,132.75,-5.6667,1621136800,83.34,77,67,23.24,83.34
cap-aux-meules,CA,-61.8597,47.3821,1621136720,42.8,87,92,1.14,42.8
nadym,RU,72.5167,65.5333,1621136801,39.85,50,99,11.77,39.85
santa maria,BR,-53.8069,-29.6842,1621136801,51.8,100,0,6.91,51.8
bereda,ES,-7.5406,43.2686,1621136802,57.04,100,100,7.0,57.99
burnie,AU,145.9167,-41.0667,1621136802,54.75,70,65,11.99,57.99
vlore,AL,19.4897,40.4667,1621136802,58.91,75,96,1.54,58.91
laurinburg,US,-79.4628,34.7741,1621136803,54.86,71,1,6.04,55.4
itarema,BR,-39.9167,-2.9248,1621136803,76.14,85,99,8.57,76.14
ereymentau,KZ,73.1033,51.6199,1621136804,69.96,51,61,10.92,69.96
rawson,AR,-65.1023,-43.3002,1621136804,53.04,51,93,8.37,53.04
kieta,PG,155.6333,-6.2167,1621136804,85.82,69,40,5.41,85.82
rorvik,NO,11.2373,64.8621,1621136805,48.38,78,95,14.41,48.38
katsuura,JP,140.3,35.1333,1621136805,70.16,80,100,1.99,71.01
lata,PT,-8.3327,40.1629,1621136805,59.0,94,100,1.99,59.0
dzaoudzi,YT,45.2699,-12.7887,1621136806,77.0,94,75,3.44,77.0
saint anthony,US,-93.218,45.0205,1621136806,59.47,59,1,5.75,62.01
atar,MR,-13.0499,20.5169,1621136807,77.22,26,29,7.14,77.22
ixtapa,MX,-105.2,20.7,1621136807,80.29,83,1,0.96,80.6
tatsuno,JP,134.55,34.8667,1621136808,66.94,100,75,9.22,70.0
sinnamary,GF,-52.95,5.3833,1621136808,77.54,87,63,7.4,77.54
shingu,JP,135.9833,33.7333,1621136808,72.88,88,75,9.22,73.99
lovington,US,-103.3485,32.944,1621136809,60.82,91,85,3.0,62.01
tarauaca,BR,-70.7656,-8.1614,1621136809,76.17,79,100,0.63,76.17
lakes entrance,AU,147.981,-37.8811,1621136810,62.01,51,76,1.99,62.01
chekhov,RU,37.4711,55.1431,1621136544,53.76,82,0,6.71,57.2
belaya gora,RU,146.4167,68.5333,1621136810,43.47,59,100,8.72,43.47
ambilobe,MG,49.05,-13.2,1621136811,71.46,77,18,4.21,71.46
walcz,PL,16.4712,53.2779,1621136811,48.99,91,90,5.12,48.99
dunhua,CN,128.2425,43.3725,1621136811,65.25,31,100,2.51,65.25
bilibino,RU,166.4372,68.0546,1621136812,35.28,79,93,1.77,35.28
bubaque,GW,-15.8333,11.2833,1621136812,77.04,84,82,6.38,77.04
priargunsk,RU,119.1012,50.3691,1621136813,62.78,30,1,17.69,62.78
tres lagoas,BR,-51.6783,-20.7511,1621136766,65.25,63,4,5.61,65.25
mae hong son,TH,97.9685,19.3003,1621136814,91.4,58,20,3.44,91.4
bogorodskoye,RU,37.8833,56.55,1621136814,56.68,86,13,11.05,56.68
nanortalik,GL,-45.2371,60.1432,1621136814,36.0,84,14,1.32,36.0
mollendo,PE,-72.0147,-17.0231,1621136815,64.36,87,1,6.58,64.36
ust-nera,RU,143.2,64.5667,1621136815,47.34,62,99,3.62,47.34
poum,NC,164.0167,-20.2333,1621136815,78.26,75,94,16.8,78.26
shimoda,JP,138.95,34.6667,1621136622,68.79,73,75,6.91,71.6
namatanai,PG,152.4333,-3.6667,1621136816,85.71,69,99,10.29,85.71
hjelset,NO,7.4833,62.7833,1621136816,50.0,93,90,6.91,50.0
sorong,ID,131.25,-0.8833,1621136817,82.49,84,38,8.9,82.49
minatitlan,MX,-94.5167,17.9833,1621136817,77.95,83,6,5.1,77.95
turangi,NZ,175.9333,-39.0,1621136738,51.49,83,100,1.63,51.49
kaeo,NZ,173.7833,-35.1,1621136818,69.01,77,10,8.99,69.01
punta alta,AR,-62.0736,-38.8759,1621136818,56.07,81,99,5.26,56.07
cururupu,BR,-44.8683,-1.8283,1621136819,72.93,97,100,2.35,72.93
avera,US,-82.5271,33.194,1621136819,56.55,94,1,5.46,57.2
plymouth,US,-70.8328,41.8334,1621136819,54.23,62,1,3.44,57.0
mildura,AU,142.15,-34.2,1621136820,59.0,51,90,6.91,59.0
mayo,US,-76.5119,38.8876,1621136820,58.15,67,1,9.22,62.6
merauke,ID,140.3333,-8.4667,1621136821,83.37,77,99,14.09,83.37
mount gambier,AU,140.7667,-37.8333,1621136821,55.4,88,90,14.97,55.4
alakurtti,RU,30.3491,66.9672,1621136821,37.99,92,100,1.99,37.99
luanda,AO,13.2343,-8.8368,1621136822,74.55,89,27,8.1,74.55
martapura,ID,114.85,-3.4167,1621136822,86.0,79,40,5.75,86.0
roma,US,-75.4557,43.2128,1621136822,47.05,61,1,1.32,48.2
bozdar,PK,68.636,27.1828,1621136823,84.2,54,40,16.04,84.2
guarda,PT,-7.2658,40.5373,1621136823,58.5,86,100,7.0,59.0
lakatoro,VU,167.4164,-16.0999,1621136824,83.35,74,24,3.69,83.35
comodoro rivadavia,AR,-67.5,-45.8667,1621136806,50.0,66,0,10.36,50.0
two hills,CA,-111.7518,53.7169,1621136824,62.06,34,100,6.91,62.6
bitkine,TD,18.2138,11.9801,1621136825,84.24,47,68,8.75,84.24
aborlan,PH,118.5492,9.4352,1621136825,87.8,66,75,4.61,87.8
chapais,CA,-74.8492,49.7834,1621136826,44.6,76,1,3.44,44.6
minggang,CN,114.0486,32.4586,1621136826,56.91,77,100,14.9,56.91
cape canaveral,US,-80.6048,28.4058,1621136826,73.58,60,75,13.8,75.0
coos bay,US,-124.2179,43.3665,1621136827,50.27,87,90,13.8,51.01
westport,US,-73.3579,41.1415,1621136628,58.32,55,75,6.91,62.6
pringsewu,ID,104.9744,-5.3582,1621136827,89.06,60,18,2.1,89.06
balabac,PH,117.0645,7.9868,1621136828,85.44,73,83,9.91,85.44
batemans bay,AU,150.1833,-35.7167,1621136828,63.0,43,15,5.12,63.0
amparafaravola,MG,48.2167,-17.5833,1621136829,60.84,93,33,3.85,60.84
balurghat,IN,88.7667,25.2167,1621136829,94.93,47,21,7.02,94.93
mouila,GA,11.0559,-1.8685,1621136829,73.6,98,100,0.49,73.6
huejuquilla el alto,MX,-103.8667,22.6,1621136830,66.67,45,16,7.38,66.67
caravelas,BR,-39.2481,-17.7125,1621136830,71.04,71,96,5.95,71.04
muyezerskiy,RU,31.65,63.9333,1621136831,46.36,85,99,7.94,46.36
andra,RU,65.8878,62.5147,1621136831,54.52,64,49,4.74,54.52
sangmelima,CM,11.9833,2.9333,1621136831,67.3,99,100,1.05,67.3
high level,CA,-117.136,58.5169,1621136687,53.6,66,75,10.36,53.6
cairns,AU,145.7667,-16.9167,1621136832,81.7,42,1,18.41,82.4
parabel,RU,81.4825,58.6978,1621136832,46.89,91,100,6.64,46.89
gravdal,NO,13.5031,68.1214,1621136833,43.88,85,100,11.3,43.88
lagoa,PT,-27.9833,39.05,1621136833,60.31,88,100,5.79,60.31
klyuchi,RU,79.1667,52.2667,1621136834,77.05,33,68,13.15,77.05
cooma,AU,149.1333,-36.2333,1621136834,51.8,35,12,5.75,51.8
bonavista,CA,-53.1147,48.6499,1621136835,39.54,87,97,4.61,39.99
santa helena de goias,BR,-50.5969,-17.8136,1621136835,68.07,57,63,2.82,68.07
viedma,AR,-62.9967,-40.8135,1621136835,50.09,82,100,3.83,50.09
port lincoln,AU,135.8667,-34.7333,1621136836,59.0,60,98,12.73,59.0
medford,US,-122.8756,42.3265,1621136836,70.45,23,1,8.05,77.0
kawalu,ID,108.2082,-7.3817,1621136837,83.93,65,54,5.19,83.93
kangema,KE,36.9667,-0.6833,1621136837,52.0,94,30,3.47,52.0
meulaboh,ID,96.1285,4.1363,1621136837,85.35,66,99,3.02,85.35
cumra,TR,32.7745,37.5732,1621136838,55.4,47,0,2.3,55.4
dudinka,RU,86.1778,69.4058,1621136838,18.86,91,86,8.23,18.86
kamenka,RU,42.7678,51.3223,1621136839,66.15,75,42,6.6,66.15
falmouth,GB,-5.0711,50.1544,1621136839,48.11,93,75,9.22,48.2
misratah,LY,15.0925,32.3754,1621136839,63.19,65,6,4.63,63.19
zhigansk,RU,123.3711,66.7697,1621136840,55.62,37,100,21.43,55.62
san isidro,PE,-77.05,-12.1167,1621136840,62.51,88,90,5.75,63.0
kaiserslautern,DE,7.75,49.45,1621136841,49.01,100,75,5.75,50.0
karatsu,JP,129.9697,33.4425,1621136841,81.0,57,100,10.0,81.0
ballina,AU,153.5667,-28.8667,1621136841,64.44,59,40,10.36,66.2
moyale,KE,39.0584,3.5167,1621136842,66.25,77,71,5.61,66.25
san luis,AR,-66.3356,-33.295,1621136701,53.38,65,100,2.19,53.38
puruliya,IN,86.3667,23.3333,1621136842,87.8,66,7,7.87,87.8
panguiranan,PH,123.3185,12.0699,1621136843,89.24,61,76,11.34,89.24
pyay,MM,95.2167,18.8167,1621136697,100.17,34,63,1.81,100.17
sambava,MG,50.1667,-14.2667,1621136843,74.1,82,34,9.86,74.1
raga,SS,25.678,8.4596,1621136844,71.58,90,100,4.03,71.58
sobolevo,RU,31.8996,54.4299,1621136844,52.9,94,73,8.16,52.9
collipulli,CL,-72.4333,-37.95,1621136844,44.17,92,0,3.83,44.17
carutapera,BR,-46.02,-1.195,1621136845,73.96,96,100,2.48,73.96
bihoro,JP,144.1044,43.8228,1621136845,60.8,77,75,17.27,60.8
riohacha,CO,-72.9072,11.5444,1621136846,79.48,76,81,11.81,79.48
geraldton,AU,114.6,-28.7667,1621136846,82.4,26,6,19.57,82.4
rundu,NA,19.7667,-17.9333,1621136846,55.09,50,20,4.07,55.09
la orilla,MX,-102.2333,17.9833,1621136847,81.18,76,4,5.01,81.18
guerrero negro,MX,-114.0611,27.9769,1621136847,59.79,78,1,16.98,59.79
san patricio,US,-97.5169,28.017,1621136847,72.91,94,90,18.41,75.2
benjamin hill,MX,-111.1,30.1667,1621136848,71.98,65,0,1.01,73.99
havre-saint-pierre,CA,-63.5986,50.2334,1621136848,42.8,87,90,7.92,42.8
yerofey pavlovich,RU,121.9667,53.9667,1621136849,62.56,26,2,12.28,62.56
kampot,KH,104.1833,10.6167,1621136849,87.8,84,40,6.91,87.8
atasu,KZ,71.6433,48.6814,1621136850,70.38,33,1,4.65,70.38
harper,LR,-7.7169,4.375,1621136850,78.91,84,50,4.45,78.91
teahupoo,PF,-149.2667,-17.8333,1621136850,82.2,74,75,11.5,82.4
aksay,RU,39.87,47.26,1621136851,68.0,60,0,6.71,68.0
olinda,BR,-34.8553,-8.0089,1621136851,73.4,83,75,4.61,73.4
palu,ID,119.8707,-0.8917,1621136852,86.92,79,82,3.09,86.92
luba,GQ,8.5547,3.4568,1621136852,77.0,94,20,3.44,77.0
vorgashor,RU,63.95,67.5833,1621136852,33.28,76,97,3.83,33.28
tres arroyos,AR,-60.2798,-38.3739,1621136853,52.47,71,93,6.06,52.47
placer,US,-120.7677,39.0666,1621136853,60.3,72,100,5.01,62.01
hobyo,SO,48.5268,5.3505,1621136853,81.5,73,3,21.79,81.5
kalabo,ZM,22.6814,-14.97,1621136854,56.57,57,14,4.54,56.57
morrisburg,CA,-75.1826,44.9001,1621136642,53.01,54,20,4.61,53.6
sterling,US,-77.4286,39.0062,1621136854,54.84,76,1,3.85,57.0
cozumel,MX,-86.9458,20.5083,1621136687,80.28,78,75,6.91,80.6
jieshi,CN,115.8257,22.8134,1621136855,85.46,73,4,13.31,85.46
kostek,RU,46.8541,43.3439,1621136855,70.7,52,57,10.54,70.7
srandakan,ID,110.2506,-7.9386,1621136856,85.64,66,28,13.15,85.64
rabo de peixe,PT,-25.5833,37.8,1621136856,64.4,100,75,10.36,64.4
